trial angleIni direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same duration radius angleLandmark durationRampingLand freq size response
54 117 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 225.0 120.0 1.25 3.0 left
55 190 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 135.0 120.0 1.0 3.0 right
56 166 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 270.0 120.0 1.75 3.0 left
57 78 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 45.0 120.0 0.75 3.0 left
58 13 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 225.0 120.0 2.5 3.0 left
59 191 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 270.0 120.0 1.25 3.0 left
60 112 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 180.0 120.0 2.25 3.0 left
61 25 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 270.0 120.0 2.75 3.0 right
62 245 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 90.0 120.0 2.0 3.0 right
63 301 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 315.0 120.0 3.0 3.0 left
64 186 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 45.0 120.0 1.0 3.0 right
65 133 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 270.0 120.0 3.25 3.0 left
66 152 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 135.0 120.0 3.0 3.0 right
67 243 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 270.0 120.0 0.75 3.0 right
68 138 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 270.0 120.0 3.25 3.0 right
69 284 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 45.0 120.0 0.75 3.0 right
70 276 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 315.0 120.0 0.75 3.0 left
71 290 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 0.0 120.0 1.5 3.0 left
72 263 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 270.0 120.0 2.25 3.0 right
73 131 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 135.0 120.0 3.5 3.0 right
74 276 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 270.0 120.0 2.25 3.0 right
75 188 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 45.0 120.0 1.25 3.0 right
76 185 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 135.0 120.0 1.0 3.0 left
77 270 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 0.0 120.0 1.25 3.0 right
78 279 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 45.0 120.0 3.25 3.0 right
79 212 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 135.0 120.0 2.0 3.0 left
80 257 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 270.0 120.0 0.75 3.0 right
81 165 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 315.0 120.0 1.0 3.0 right
82 357 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 225.0 120.0 3.25 3.0 left
83 101 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 225.0 120.0 2.75 3.0 right
84 227 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 315.0 120.0 2.75 3.0 right
85 72 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 315.0 120.0 3.5 3.0 left
86 265 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 315.0 120.0 3.25 3.0 left
87 98 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 135.0 120.0 3.25 3.0 right
